fecha,hotel,"hab bamboo","hab rategain",disponibilidad
2022-02-05,bhparque93,1,ESTANDAR,6
2022-02-05,bhparque93,2,TWIN,1
2022-02-05,bhparque93,3,"ESPECIAL ESTANDAR",0
2022-02-06,bhparque93,1,ESTANDAR,3
2022-02-06,bhparque93,2,TWIN,1
2022-02-06,bhparque93,3,"ESPECIAL ESTANDAR",0
2022-02-07,bhparque93,1,ESTANDAR,15
2022-02-07,bhparque93,2,TWIN,3
2022-02-07,bhparque93,3,"ESPECIAL ESTANDAR",1
2022-02-08,bhparque93,1,ESTANDAR,14
2022-02-08,bhparque93,2,TWIN,3
2022-02-08,bhparque93,3,"ESPECIAL ESTANDAR",2
2022-02-09,bhparque93,1,ESTANDAR,20
2022-02-09,bhparque93,2,TWIN,3
2022-02-09,bhparque93,3,"ESPECIAL ESTANDAR",2
2022-02-10,bhparque93,1,ESTANDAR,10
2022-02-10,bhparque93,2,TWIN,0
2022-02-10,bhparque93,3,"ESPECIAL ESTANDAR",2
2022-02-05,EKhotel,1,SUPERIOR,6
2022-02-05,EKhotel,2,TWIN,1
2022-02-05,EKhotel,3,"JUNIOR SUITE",0
2022-02-05,EKhotel,4,"ESPECIAL TWIN",0
2022-02-06,EKhotel,1,SUPERIOR,3
2022-02-06,EKhotel,2,TWIN,1
2022-02-06,EKhotel,3,"JUNIOR SUITE",0
2022-02-06,EKhotel,4,"ESPECIAL TWIN",0
2022-02-07,EKhotel,1,SUPERIOR,15
2022-02-07,EKhotel,2,TWIN,3
2022-02-07,EKhotel,3,"JUNIOR SUITE",1
2022-02-07,EKhotel,4,"ESPECIAL TWIN",0
2022-02-08,EKhotel,1,SUPERIOR,14
2022-02-08,EKhotel,2,TWIN,3
2022-02-08,EKhotel,3,"JUNIOR SUITE",2
2022-02-08,EKhotel,4,"ESPECIAL TWIN",0
2022-02-09,EKhotel,1,SUPERIOR,20
2022-02-09,EKhotel,2,TWIN,3
2022-02-09,EKhotel,3,"JUNIOR SUITE",2
2022-02-09,EKhotel,4,"ESPECIAL TWIN",0
2022-02-10,EKhotel,1,SUPERIOR,10
2022-02-10,EKhotel,2,TWIN,0
2022-02-10,EKhotel,3,"JUNIOR SUITE",2
2022-02-10,EKhotel,4,"ESPECIAL TWIN",0
2022-02-05,bhusaquen,1,ESTANDAR,6
2022-02-05,bhusaquen,2,"TWIN ESTANDAR",1
2022-02-05,bhusaquen,3,SUPERIOR,0
2022-02-05,bhusaquen,4,"ESTANDAR COCINA",0
2022-02-05,bhusaquen,5,"ESPECIAL ESTANDAR",0
2022-02-05,bhusaquen,6,"TWIN JUNIOR",0
2022-02-05,bhusaquen,7,"TWIN COCINA",0
2022-02-06,bhusaquen,1,ESTANDAR,3
2022-02-06,bhusaquen,2,"TWIN ESTANDAR",1
2022-02-06,bhusaquen,3,SUPERIOR,0
2022-02-06,bhusaquen,4,"ESTANDAR COCINA",0
2022-02-06,bhusaquen,5,"ESPECIAL ESTANDAR",0
2022-02-06,bhusaquen,6,"TWIN JUNIOR",0
2022-02-06,bhusaquen,7,"TWIN COCINA",0
