fecha,hotel,"hab bamboo","hab rategain",disponibilidad
2022-02-05,bhparque93,1,ESTANDAR,5
2022-02-05,bhparque93,2,TWIN,2
2022-02-05,bhparque93,3,"ESPECIAL ESTANDAR",0
2022-02-06,bhparque93,1,ESTANDAR,2
2022-02-06,bhparque93,2,TWIN,1
2022-02-06,bhparque93,3,"ESPECIAL ESTANDAR",0
2022-02-05,EKhotel,1,SUPERIOR,5
2022-02-05,EKhotel,2,TWIN,2
2022-02-05,EKhotel,3,"JUNIOR SUITE",0
2022-02-05,EKhotel,4,"ESPECIAL TWIN",0
2022-02-06,EKhotel,1,SUPERIOR,2
2022-02-06,EKhotel,2,TWIN,1
2022-02-06,EKhotel,3,"JUNIOR SUITE",0
2022-02-06,EKhotel,4,"ESPECIAL TWIN",0
2022-02-05,bhusaquen,1,ESTANDAR,5
2022-02-05,bhusaquen,2,"TWIN ESTANDAR",2
2022-02-05,bhusaquen,3,SUPERIOR,0
2022-02-05,bhusaquen,4,"ESTANDAR COCINA",0
2022-02-05,bhusaquen,5,"ESPECIAL ESTANDAR",0
2022-02-05,bhusaquen,6,"TWIN JUNIOR",0
2022-02-05,bhusaquen,7,"TWIN COCINA",0
2022-02-06,bhusaquen,1,ESTANDAR,2
2022-02-06,bhusaquen,2,"TWIN ESTANDAR",1
2022-02-06,bhusaquen,3,SUPERIOR,0
2022-02-06,bhusaquen,4,"ESTANDAR COCINA",0
2022-02-06,bhusaquen,5,"ESPECIAL ESTANDAR",0
2022-02-06,bhusaquen,6,"TWIN JUNIOR",0
2022-02-06,bhusaquen,7,"TWIN COCINA",0
2022-02-05,belasierra,6,FAMILIAR,0
2022-02-05,belasierra,7,"STANDAR CAMA MATRIMONIAL",0
2022-02-05,belasierra,8,"STANDAR DOBLE TWIN",0
2022-02-05,belasierra,9,"STANDAR TRIPLE 3 CAMAS SENCILLAS",0
2022-02-05,belasierra,10,"SUPERIOR DOBLE MATRIMONIAL",0
2022-02-05,belasierra,11,"SUPERIOR DOBLE TWIN",0
2022-02-06,belasierra,6,FAMILIAR,0
2022-02-06,belasierra,7,"STANDAR CAMA MATRIMONIAL",0
2022-02-06,belasierra,8,"STANDAR DOBLE TWIN",0
2022-02-06,belasierra,9,"STANDAR TRIPLE 3 CAMAS SENCILLAS",0
2022-02-06,belasierra,10,"SUPERIOR DOBLE MATRIMONIAL",0
2022-02-06,belasierra,11,"SUPERIOR DOBLE TWIN",0
2022-02-05,bhpoblado,2,"ESTANDAR KING",2
2022-02-05,bhpoblado,3,"ESTANDAR QUEEN",0
2022-02-05,bhpoblado,4,TWIN,0
2022-02-05,bhpoblado,5,"JUNIOR SUITE",0
2022-02-05,bhpoblado,6,"ESPECIAL TWIN",0
2022-02-05,bhpoblado,7,"ESPECIAL QUEEN",0
2022-02-06,bhpoblado,2,"ESTANDAR KING",1
2022-02-06,bhpoblado,3,"ESTANDAR QUEEN",0
2022-02-06,bhpoblado,4,TWIN,0
2022-02-06,bhpoblado,5,"JUNIOR SUITE",0
2022-02-06,bhpoblado,6,"ESPECIAL TWIN",0
2022-02-06,bhpoblado,7,"ESPECIAL QUEEN",0
2022-02-05,bsrosales,1,"JUNIOR SUITE QUEEN",5
2022-02-05,bsrosales,2,SUPERIOR,2
2022-02-05,bsrosales,3,"SUPERIOR TWIN",0
2022-02-05,bsrosales,4,ESTANDAR,0
2022-02-05,bsrosales,5,"ESTANDAR ESPECIAL",0
2022-02-05,bsrosales,6,"JUNIOR SUITE TWIN",0
2022-02-06,bsrosales,1,"JUNIOR SUITE QUEEN",2
2022-02-06,bsrosales,2,SUPERIOR,1
2022-02-06,bsrosales,3,"SUPERIOR TWIN",0
2022-02-06,bsrosales,4,ESTANDAR,0
2022-02-06,bsrosales,5,"ESTANDAR ESPECIAL",0
2022-02-06,bsrosales,6,"JUNIOR SUITE TWIN",0
2022-02-05,bhbarranquilla,1,TWIN,5
2022-02-05,bhbarranquilla,2,ESTANDAR,2
2022-02-05,bhbarranquilla,4,"JUNIOR SUITE",0
2022-02-05,bhbarranquilla,5,"ESPECIAL ESTANDAR",0
2022-02-06,bhbarranquilla,1,TWIN,2
2022-02-06,bhbarranquilla,2,ESTANDAR,1
2022-02-06,bhbarranquilla,4,"JUNIOR SUITE",0
2022-02-06,bhbarranquilla,5,"ESPECIAL ESTANDAR",0
2022-02-05,bhbicentenario,1,ESTANDAR,5
2022-02-05,bhbicentenario,2,TWIN,2
