fecha,hotel,"hab bamboo","hab rategain",disponibilidad
2022-02-08,bhparque93,1,ESTANDAR,9
2022-02-08,bhparque93,2,TWIN,3
2022-02-08,bhparque93,3,"ESPECIAL ESTANDAR",1
2022-02-09,bhparque93,1,ESTANDAR,18
2022-02-09,bhparque93,2,TWIN,3
2022-02-09,bhparque93,3,"ESPECIAL ESTANDAR",1
2022-02-10,bhparque93,1,ESTANDAR,9
2022-02-10,bhparque93,2,TWIN,0
2022-02-10,bhparque93,3,"ESPECIAL ESTANDAR",0
2022-02-11,bhparque93,1,ESTANDAR,21
2022-02-11,bhparque93,2,TWIN,3
2022-02-11,bhparque93,3,"ESPECIAL ESTANDAR",1
2022-02-12,bhparque93,1,ESTANDAR,23
2022-02-12,bhparque93,2,TWIN,3
2022-02-12,bhparque93,3,"ESPECIAL ESTANDAR",1
2022-02-13,bhparque93,1,ESTANDAR,18
2022-02-13,bhparque93,2,TWIN,2
2022-02-13,bhparque93,3,"ESPECIAL ESTANDAR",1
2022-02-14,bhparque93,1,ESTANDAR,19
2022-02-14,bhparque93,2,TWIN,1
2022-02-14,bhparque93,3,"ESPECIAL ESTANDAR",2
2022-02-15,bhparque93,1,ESTANDAR,19
2022-02-15,bhparque93,2,TWIN,2
2022-02-15,bhparque93,3,"ESPECIAL ESTANDAR",2
2022-02-16,bhparque93,1,ESTANDAR,32
2022-02-16,bhparque93,2,TWIN,1
2022-02-16,bhparque93,3,"ESPECIAL ESTANDAR",2
2022-02-17,bhparque93,1,ESTANDAR,37
2022-02-17,bhparque93,2,TWIN,1
2022-02-17,bhparque93,3,"ESPECIAL ESTANDAR",2
2022-02-08,EKhotel,1,SUPERIOR,5
2022-02-08,EKhotel,2,TWIN,6
2022-02-08,EKhotel,3,"JUNIOR SUITE",1
2022-02-08,EKhotel,4,"ESPECIAL TWIN",1
2022-02-09,EKhotel,1,SUPERIOR,8
2022-02-09,EKhotel,2,TWIN,4
2022-02-09,EKhotel,3,"JUNIOR SUITE",5
2022-02-09,EKhotel,4,"ESPECIAL TWIN",1
2022-02-10,EKhotel,1,SUPERIOR,6
2022-02-10,EKhotel,2,TWIN,4
2022-02-10,EKhotel,3,"JUNIOR SUITE",6
2022-02-10,EKhotel,4,"ESPECIAL TWIN",1
2022-02-11,EKhotel,1,SUPERIOR,13
2022-02-11,EKhotel,2,TWIN,7
2022-02-11,EKhotel,3,"JUNIOR SUITE",12
2022-02-11,EKhotel,4,"ESPECIAL TWIN",1
2022-02-12,EKhotel,1,SUPERIOR,15
2022-02-12,EKhotel,2,TWIN,6
2022-02-12,EKhotel,3,"JUNIOR SUITE",14
2022-02-12,EKhotel,4,"ESPECIAL TWIN",1
2022-02-13,EKhotel,1,SUPERIOR,19
2022-02-13,EKhotel,2,TWIN,9
2022-02-13,EKhotel,3,"JUNIOR SUITE",15
2022-02-13,EKhotel,4,"ESPECIAL TWIN",1
2022-02-14,EKhotel,1,SUPERIOR,8
2022-02-14,EKhotel,2,TWIN,8
2022-02-14,EKhotel,3,"JUNIOR SUITE",14
2022-02-14,EKhotel,4,"ESPECIAL TWIN",1
2022-02-15,EKhotel,1,SUPERIOR,9
2022-02-15,EKhotel,2,TWIN,8
2022-02-15,EKhotel,3,"JUNIOR SUITE",14
2022-02-15,EKhotel,4,"ESPECIAL TWIN",1
2022-02-16,EKhotel,1,SUPERIOR,16
2022-02-16,EKhotel,2,TWIN,5
2022-02-16,EKhotel,3,"JUNIOR SUITE",13
2022-02-16,EKhotel,4,"ESPECIAL TWIN",1
2022-02-17,EKhotel,1,SUPERIOR,14
2022-02-17,EKhotel,2,TWIN,3
2022-02-17,EKhotel,3,"JUNIOR SUITE",15
2022-02-17,EKhotel,4,"ESPECIAL TWIN",1
2022-02-08,bhusaquen,1,ESTANDAR,21
2022-02-08,bhusaquen,2,"TWIN ESTANDAR",5
2022-02-08,bhusaquen,3,SUPERIOR,0
2022-02-08,bhusaquen,4,"ESTANDAR COCINA",0
2022-02-08,bhusaquen,5,"ESPECIAL ESTANDAR",3
2022-02-08,bhusaquen,6,"TWIN JUNIOR",10
2022-02-08,bhusaquen,7,"TWIN COCINA",2
2022-02-09,bhusaquen,1,ESTANDAR,22
2022-02-09,bhusaquen,2,"TWIN ESTANDAR",6
2022-02-09,bhusaquen,3,SUPERIOR,0
2022-02-09,bhusaquen,4,"ESTANDAR COCINA",0
2022-02-09,bhusaquen,5,"ESPECIAL ESTANDAR",3
2022-02-09,bhusaquen,6,"TWIN JUNIOR",11
2022-02-09,bhusaquen,7,"TWIN COCINA",3
2022-02-10,bhusaquen,1,ESTANDAR,21
2022-02-10,bhusaquen,2,"TWIN ESTANDAR",7
2022-02-10,bhusaquen,3,SUPERIOR,0
2022-02-10,bhusaquen,4,"ESTANDAR COCINA",0
2022-02-10,bhusaquen,5,"ESPECIAL ESTANDAR",3
2022-02-10,bhusaquen,6,"TWIN JUNIOR",11
2022-02-10,bhusaquen,7,"TWIN COCINA",3
2022-02-11,bhusaquen,1,ESTANDAR,26
2022-02-11,bhusaquen,2,"TWIN ESTANDAR",8
2022-02-11,bhusaquen,3,SUPERIOR,0
2022-02-11,bhusaquen,4,"ESTANDAR COCINA",0
2022-02-11,bhusaquen,5,"ESPECIAL ESTANDAR",3
2022-02-11,bhusaquen,6,"TWIN JUNIOR",11
2022-02-11,bhusaquen,7,"TWIN COCINA",3
2022-02-12,bhusaquen,1,ESTANDAR,32
2022-02-12,bhusaquen,2,"TWIN ESTANDAR",8
2022-02-12,bhusaquen,3,SUPERIOR,0
2022-02-12,bhusaquen,4,"ESTANDAR COCINA",0
2022-02-12,bhusaquen,5,"ESPECIAL ESTANDAR",3
2022-02-12,bhusaquen,6,"TWIN JUNIOR",11
2022-02-12,bhusaquen,7,"TWIN COCINA",3
2022-02-13,bhusaquen,1,ESTANDAR,34
2022-02-13,bhusaquen,2,"TWIN ESTANDAR",10
2022-02-13,bhusaquen,3,SUPERIOR,0
2022-02-13,bhusaquen,4,"ESTANDAR COCINA",0
2022-02-13,bhusaquen,5,"ESPECIAL ESTANDAR",3
2022-02-13,bhusaquen,6,"TWIN JUNIOR",11
2022-02-13,bhusaquen,7,"TWIN COCINA",3
2022-02-14,bhusaquen,1,ESTANDAR,33
2022-02-14,bhusaquen,2,"TWIN ESTANDAR",10
2022-02-14,bhusaquen,3,SUPERIOR,0
2022-02-14,bhusaquen,4,"ESTANDAR COCINA",0
2022-02-14,bhusaquen,5,"ESPECIAL ESTANDAR",3
2022-02-14,bhusaquen,6,"TWIN JUNIOR",12
2022-02-14,bhusaquen,7,"TWIN COCINA",3
2022-02-15,bhusaquen,1,ESTANDAR,37
2022-02-15,bhusaquen,2,"TWIN ESTANDAR",10
2022-02-15,bhusaquen,3,SUPERIOR,0
2022-02-15,bhusaquen,4,"ESTANDAR COCINA",0
2022-02-15,bhusaquen,5,"ESPECIAL ESTANDAR",3
2022-02-15,bhusaquen,6,"TWIN JUNIOR",12
2022-02-15,bhusaquen,7,"TWIN COCINA",3
2022-02-16,bhusaquen,1,ESTANDAR,35
2022-02-16,bhusaquen,2,"TWIN ESTANDAR",10
2022-02-16,bhusaquen,3,SUPERIOR,0
2022-02-16,bhusaquen,4,"ESTANDAR COCINA",0
2022-02-16,bhusaquen,5,"ESPECIAL ESTANDAR",3
