fecha,hotel,"hab bamboo","hab rategain",disponibilidad
2022-02-05,bhparque93,1,ESTANDAR,4
2022-02-05,bhparque93,2,TWIN,2
2022-02-05,bhparque93,3,"ESPECIAL ESTANDAR",0
2022-02-06,bhparque93,1,ESTANDAR,2
2022-02-06,bhparque93,2,TWIN,1
2022-02-06,bhparque93,3,"ESPECIAL ESTANDAR",0
2022-02-07,bhparque93,1,ESTANDAR,14
2022-02-07,bhparque93,2,TWIN,3
2022-02-07,bhparque93,3,"ESPECIAL ESTANDAR",1
2022-02-08,bhparque93,1,ESTANDAR,13
2022-02-08,bhparque93,2,TWIN,3
2022-02-08,bhparque93,3,"ESPECIAL ESTANDAR",2
2022-02-09,bhparque93,1,ESTANDAR,19
2022-02-09,bhparque93,2,TWIN,3
2022-02-09,bhparque93,3,"ESPECIAL ESTANDAR",2
2022-02-10,bhparque93,1,ESTANDAR,10
2022-02-10,bhparque93,2,TWIN,0
2022-02-10,bhparque93,3,"ESPECIAL ESTANDAR",1
2022-02-05,EKhotel,1,SUPERIOR,1
2022-02-05,EKhotel,2,TWIN,0
2022-02-05,EKhotel,3,"JUNIOR SUITE",3
2022-02-05,EKhotel,4,"ESPECIAL TWIN",0
2022-02-06,EKhotel,1,SUPERIOR,4
2022-02-06,EKhotel,2,TWIN,2
2022-02-06,EKhotel,3,"JUNIOR SUITE",8
2022-02-06,EKhotel,4,"ESPECIAL TWIN",0
2022-02-07,EKhotel,1,SUPERIOR,3
2022-02-07,EKhotel,2,TWIN,6
2022-02-07,EKhotel,3,"JUNIOR SUITE",7
2022-02-07,EKhotel,4,"ESPECIAL TWIN",0
2022-02-08,EKhotel,1,SUPERIOR,2
2022-02-08,EKhotel,2,TWIN,7
2022-02-08,EKhotel,3,"JUNIOR SUITE",7
2022-02-08,EKhotel,4,"ESPECIAL TWIN",0
2022-02-09,EKhotel,1,SUPERIOR,5
2022-02-09,EKhotel,2,TWIN,5
2022-02-09,EKhotel,3,"JUNIOR SUITE",9
2022-02-09,EKhotel,4,"ESPECIAL TWIN",0
2022-02-10,EKhotel,1,SUPERIOR,3
2022-02-10,EKhotel,2,TWIN,6
2022-02-10,EKhotel,3,"JUNIOR SUITE",10
2022-02-10,EKhotel,4,"ESPECIAL TWIN",0
2022-02-05,bhusaquen,1,ESTANDAR,9
2022-02-05,bhusaquen,2,"TWIN ESTANDAR",7
2022-02-05,bhusaquen,3,SUPERIOR,0
2022-02-05,bhusaquen,4,"ESTANDAR COCINA",0
2022-02-05,bhusaquen,5,"ESPECIAL ESTANDAR",3
2022-02-05,bhusaquen,6,"TWIN JUNIOR",10
2022-02-05,bhusaquen,7,"TWIN COCINA",0
2022-02-06,bhusaquen,1,ESTANDAR,27
2022-02-06,bhusaquen,2,"TWIN ESTANDAR",4
2022-02-06,bhusaquen,3,SUPERIOR,0
2022-02-06,bhusaquen,4,"ESTANDAR COCINA",0
2022-02-06,bhusaquen,5,"ESPECIAL ESTANDAR",3
2022-02-06,bhusaquen,6,"TWIN JUNIOR",10
2022-02-06,bhusaquen,7,"TWIN COCINA",1
2022-02-07,bhusaquen,1,ESTANDAR,32
2022-02-07,bhusaquen,2,"TWIN ESTANDAR",3
2022-02-07,bhusaquen,3,SUPERIOR,0
